CountryName,OfficialName,Code,ISO3Code,UNCode,UNICEFCode,MDGRegion1,MDGRegion1excl,MDGRegion2,MDGRegion3,MDGRegion4,MDGRegion5,MDGRegion6,UNICEFProgRegion1,UNICEFProgRegion2,UNICEFProgRegion3,UNICEFProgRegion4,UNICEFProgRegion5,UNICEFProgRegion6,ECACountries,WHORegion1,WBRegion1,WBRegion2,WBRegion3,WBRegion4,WBRegion5,UNPDRegion1,UNPDRegion2,UNPDRegion3,UNPDRegion4,UNPDRegion5,OICRegion1,OICRegion2,OICRegion3,OICRegion4,Countdown.and.COIA.75.Priority.Countries,ECAAfrica,AURegion1,AURegion2,FragileCountries2013,FragileCountries2014,FragileCountries2015,FragileCountries2017,FragileCountries2018,FragileCountries2018OECD1,FragileCountries2018OECD2,FragileCountries2019,FCSCountries2020,USAIDcountry,M49Region1,M49Region2,M49Region3,SDGSimpleRegion1,SDGSimpleRegion2,SDGSimpleRegion3,SDGSimpleRegion4,SDGSimpleRegion5,SDGSimpleRegion6,SDGRegion1,SDGRegion2,SDGRegion3,SDGRegion4,SDGRegion5,SDGRegion6,SDGRegion7,HAC2020,HAC2019,GlobalStrategy,Conflict,UNICEFReportRegion1,UNICEFReportRegion2,Wealthdata1,Wealthdata2,Wealthdata3,WealthdataGlobal,Wealthall1,Wealthall2,Wealthall3,WealthallGlobal,UNRegion,AfricanEconomicCommunity,GAVICountries,SDGRCRegion1,SDGRCRegion2,SDGRCRegion3,SDGRCRegion4,SDGRCRegion5,SDGRCRegion6,SDGRCRegion7,SDGRCRegion8,SDGRCRegion9,SDGRCRegion10,SDGRCRegion11,SDGRCRegion12,SDGRCRegion13,SDGRCRegion14,SDGRCRegion15,JHURegion,SPhumanitarian,JHUFragile2021,LiST_UNICEFProgramm,LiST_UNICEFReport,LiST_all,ListSBRESCAP,ListSBR,EAPRORegion1,EAPRORegion2,EAPRORegion3,EAPRORegion4,EAPRORegion5,EAPRORegion6,EAPRORegion7,EAPRORegion8,EAPRORegion9
San Marino,San Marino,189,SMR,674,SAN,Developed regions,Developed regions,Developed regions,,,,,Industrialized countries,Industrialized countries,,,,,,Europe,Europe and Central Asia,,High income,High income,,Europe,,More developed regions,More developed regions,,,,,,,,,,,,,,,Non-fragile,,,non-FCS,,Europe,Southern Europe,,Northern America and Europe,Europe,,,"North America, Europe, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America",Northern America (M49) and Europe (M49),Europe (M49),Southern Europe (M49),Developed regions (MDG),,,Developed regions,,,,,Europe and Central Asia,Western Europe,,,,,,,,,Western European and Others Group (WEOG),,,,ECE_All countries,,,,,,,,,,,ESCAP_Europe (Europe),,,High Income Countries,Non-humanitarian,,,,,,,,,,,,,,,
Sao Tome & Principe,Sao Tome and Principe,37,STP,678,STP,Sub-Saharan Africa,Sub-Saharan Africa,Developing regions,Central Africa,Least developed countries,,SIDS,West and Central Africa,Sub-Saharan Africa,Africa,Developing countries,Least developed countries,,,Africa,Sub-Saharan Africa,Sub-Saharan Africa (excluding high-income),Middle income,Lower middle income,Low and middle income,Africa,Sub-Saharan Africa,Less developed regions,Least developed countries,Excluding China,,,,,,Central Africa,Africa,Central Africa,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,,Non-fragile,non-FCS,,Africa,Middle Africa,,Sub-Saharan Africa,,Least developed countries (LDCs),Small island developing States (SIDS),,,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Middle Africa (M49),Sub-Saharan Africa (MDG),Least developed countries (LDCs),Small island developing States (SIDS),Developing regions (MDG),,,Global Strategy,Non conflict,Sub-Saharan Africa,West and Central Africa,Sub-Saharan Africa,West and Central Africa,Lower middle income,Low and middle income,Sub-Saharan Africa,West and Central Africa,Lower middle income,Low and middle income,African Group,Economic Community of Central African States,GAVI,ECA_Central Africa,ECA_All countries,,,,,,,,,,,ESCAP_Africa (AFR),,,West and Central Africa,Non-humanitarian,,West and Central Africa,West and Central Africa,LiST,,LiSTSBR,,,,,,,,,
Saudi Arabia,Saudi Arabia,63,SAU,682,SDA,Western Asia,Western Asia,Developing regions,,,,,Middle East and North Africa,Middle East and North Africa,,Developing countries,,Middle East,,Eastern Mediterranean,Middle East and North Africa,,High income,High income,,Asia,,Less developed regions,Excluding least developed countries,Excluding China,OIC,Arab,OIC High income: nonOECD,OIC High income,,,,,,,,,,Non-fragile,,,non-FCS,,Asia,Western Asia,,Western Asia and Northern Africa,Western Asia,,,,,Western Asia (M49) and Northern Africa (M49),Asia (M49),Western Asia (M49),Western Asia (MDG),,,Developing regions (MDG),,,,Non conflict,Middle East and North Africa,,,,,,,,,,Asia-Pacific Group,,,,,,,,,,,,,,,ESCAP_Other Area (OTH_REGION),ESCWA_All countries,ESCWA_Arab countries,Middle East and North Africa,Non-humanitarian,,,,,,,,,,,,,,,
Senegal,Senegal,38,SEN,686,SEN,Sub-Saharan Africa,Sub-Saharan Africa,Developing regions,West Africa,Least developed countries,,,West and Central Africa,Sub-Saharan Africa,Africa,Developing countries,Least developed countries,,,Africa,Sub-Saharan Africa,Sub-Saharan Africa (excluding high-income),Middle income,Lower middle income,Low and middle income,Africa,Sub-Saharan Africa,Less developed regions,Least developed countries,Excluding China,OIC,Africa,OIC Lower middle income,OIC Middle income,Countdown,West Africa,Africa,Western Africa,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,,Non-fragile,non-FCS,USAID,Africa,Western Africa,,Sub-Saharan Africa,,Least developed countries (LDCs),,,,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Western Africa (M49),Sub-Saharan Africa (MDG),Least developed countries (LDCs),,Developing regions (MDG),,,Global Strategy,Non conflict,Sub-Saharan Africa,West and Central Africa,Sub-Saharan Africa,West and Central Africa,Lower middle income,Low and middle income,Sub-Saharan Africa,West and Central Africa,Lower middle income,Low and middle income,African Group,Economic Community of West African States,GAVI,ECA_West Africa,ECA_All countries,,,,,,,,,,,ESCAP_Africa (AFR),,,West and Central Africa,Non-humanitarian,,West and Central Africa,West and Central Africa,LiST,,LiSTSBR,,,,,,,,,
Serbia,Serbia,156,SRB,688,YUGC,Developed regions,Developed regions,Developed regions,,,,,CEE/CIS,CEE/CIS,,,,,,Europe,Europe and Central Asia,Europe and Central Asia (excluding high-income),Middle income,Upper middle income,Low and middle income,Europe,,More developed regions,More developed regions,,,,,,,,,,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,,Non-fragile,non-FCS,,Europe,Southern Europe,,Northern America and Europe,Europe,,,"North America, Europe, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America",Northern America (M49) and Europe (M49),Europe (M49),Southern Europe (M49),Developed regions (MDG),,,Developed regions,HAC,HAC,,Non conflict,Europe and Central Asia,Eastern Europe and Central Asia,Europe and Central Asia,Eastern Europe and Central Asia,Upper middle income,Low and middle income,Europe and Central Asia,Eastern Europe and Central Asia,Upper middle income,Low and middle income,Eastern European Group,,,,ECE_All countries,,ECE_West Balkans (ST7),,,,,,,,,ESCAP_Europe (Europe),,,Eastern Europe and Central Asia,Non-humanitarian,,Europe and Central Asia,Eastern Europe and Central Asia,LiST,,LiSTSBR,,,,,,,,,
Seychelles,Seychelles,19,SYC,690,SEY,Sub-Saharan Africa,Sub-Saharan Africa,Developing regions,Eastern Africa,,,SIDS,Eastern and Southern Africa,Sub-Saharan Africa,Africa,Developing countries,,,,Africa,Sub-Saharan Africa,,High income,High income,,Africa,,Less developed regions,Excluding least developed countries,Excluding China,,,,,,Eastern Africa,Africa,Eastern Africa,,,,,,Non-fragile,,,non-FCS,,Africa,Eastern Africa,,Sub-Saharan Africa,,,Small island developing States (SIDS),,,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Eastern Africa (M49),Sub-Saharan Africa (MDG),,Small island developing States (SIDS),Developing regions (MDG),,,,Non conflict,Sub-Saharan Africa,Eastern and Southern Africa,,,,,,,,,African Group,,,ECA_East Africa,ECA_All countries,,,,,,,,,,,ESCAP_Africa (AFR),,,Eastern and Southern Africa,Non-humanitarian,,,,,,,,,,,,,,,
Sierra Leone,Sierra Leone,39,SLE,694,SRL,Sub-Saharan Africa,Sub-Saharan Africa,Developing regions,West Africa,Least developed countries,,,West and Central Africa,Sub-Saharan Africa,Africa,Developing countries,Least developed countries,,,Africa,Sub-Saharan Africa,Sub-Saharan Africa (excluding high-income),Low income,Low income,Low and middle income,Africa,Sub-Saharan Africa,Less developed regions,Least developed countries,Excluding China,OIC,Africa,OIC Low income,,Countdown,West Africa,Africa,Western Africa,Fragile,Fragile,Fragile,Fragile,Non-fragile,Fragile,Other Fragile,Non-fragile,non-FCS,,Africa,Western Africa,,Sub-Saharan Africa,,Least developed countries (LDCs),,,,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Western Africa (M49),Sub-Saharan Africa (MDG),Least developed countries (LDCs),,Developing regions (MDG),,,Global Strategy,Non conflict,Sub-Saharan Africa,West and Central Africa,Sub-Saharan Africa,West and Central Africa,Low income,Low and middle income,Sub-Saharan Africa,West and Central Africa,Low income,Low and middle income,African Group,Economic Community of West African States,GAVI,ECA_West Africa,ECA_All countries,,,,,,,,,,,ESCAP_Africa (AFR),,,West and Central Africa,Non-humanitarian,,West and Central Africa,West and Central Africa,LiST,,LiSTSBR,,,,,,,,,
Singapore,Singapore,101,SGP,702,SIN,South-eastern Asia,South-eastern Asia,Developing regions,,,,SIDS,East Asia and Pacific,East Asia and Pacific,Asia,Developing countries,,,,Western Pacific,East Asia and Pacific,,High income,High income,,Asia,,Less developed regions,Excluding least developed countries,Excluding China,,,,,,,,,,,,,,Non-fragile,,,non-FCS,,Asia,South-Eastern Asia,,Eastern Asia and South-eastern Asia,South-eastern Asia,,Small island developing States (SIDS),South Eastern Asia and Oceania (excl. Australia and New Zealand),,Eastern Asia (M49) and South-eastern Asia (MDG=M49),Asia (M49),South-eastern Asia (MDG=M49),South-eastern Asia (MDG=M49),,Small island developing States (SIDS),Developing regions (MDG),,,,Non conflict,East Asia and Pacific,,,,,,,,,,Asia-Pacific Group,,,,,,,,,ESCAP_ASEAN (ASEAN),,,,,ESCAP_South-East Asia (SEA),ESCAP_All countries,,,High Income Countries,Non-humanitarian,,,,,,,,,,,EAPR Countries,EAPR Countries (excluding China),,,ASEAN Countries
Slovakia,Slovakia,166,SVK,703,SLK,Developed regions,Developed regions,Developed regions,,,,,Industrialized countries,Industrialized countries,,,,,,Europe,Europe and Central Asia,,High income,High income,,Europe,,More developed regions,More developed regions,,,,,,,,,,,,,,,Non-fragile,,,non-FCS,,Europe,Eastern Europe,,Northern America and Europe,Europe,,,"North America, Europe, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America",Northern America (M49) and Europe (M49),Europe (M49),Eastern Europe (M49),Developed regions (MDG),,,Developed regions,,,,,Europe and Central Asia,Western Europe,,,,,,,,,Eastern European Group,,,,ECE_All countries,ECE_European Union (EMU),ECE_Euro area (E25),,,,,,,,,ESCAP_Europe (Europe),,,High Income Countries,Non-humanitarian,,,,,,,,,,,,,,,
Slovenia,Slovenia,190,SVN,705,SLV,Developed regions,Developed regions,Developed regions,,,,,Industrialized countries,Industrialized countries,,,,,,Europe,Europe and Central Asia,,High income,High income,,Europe,,More developed regions,More developed regions,,,,,,,,,,,,,,,Non-fragile,,,non-FCS,,Europe,Southern Europe,,Northern America and Europe,Europe,,,"North America, Europe, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America",Northern America (M49) and Europe (M49),Europe (M49),Southern Europe (M49),Developed regions (MDG),,,Developed regions,,,,,Europe and Central Asia,Western Europe,,,,,,,,,Eastern European Group,,,,ECE_All countries,ECE_European Union (EMU),ECE_Euro area (E25),,,,,,,,,ESCAP_Europe (Europe),,,High Income Countries,Non-humanitarian,,,,,,,,,,,,,,,
Solomon Islands,Solomon Islands,88,SLB,90,SOL,Oceania,Oceania,Developing regions,,Least developed countries,,SIDS,East Asia and Pacific,East Asia and Pacific,Asia,Developing countries,Least developed countries,,,Western Pacific,East Asia and Pacific,East Asia and Pacific (excluding high-income),Middle income,Lower middle income,Low and middle income,Oceania,,Less developed regions,Least developed countries,Excluding China,,,,,Countdown,,,,Fragile,Fragile,Fragile,Fragile,Fragile,Fragile,Other Fragile,Fragile,Fragile and Conflict-affected Situation,,Oceania,Melanesia,,Oceania,Oceania excluding Australia and New Zealand,Least developed countries (LDCs),Small island developing States (SIDS),South Eastern Asia and Oceania (excl. Australia and New Zealand),,Oceania (M49) excluding Australia and New Zealand (M49),Oceania (M49),Melanesia (M49),Oceania (MDG),Least developed countries (LDCs),Small island developing States (SIDS),Developing regions (MDG),,,Global Strategy,Non conflict,East Asia and Pacific,,,,,,East Asia and Pacific,,Lower middle income,Low and middle income,Asia-Pacific Group,,GAVI,,,,,,ESCAP_ADB Group A (ADB_DMC_A),ESCAP_Pacific island developing economies (PIDE),,,ESCAP_LDC (LDC_E),,ESCAP_PACIFIC (PAC),ESCAP_All countries,,,East Asia and the Pacific,Non-humanitarian,Fragile,East Asia and Pacific,East Asia and Pacific,LiST,LiSTSBR,LiSTSBR,EAPR Program Countries,EAPR Program Countries (excluding China),Pacific Program Countries,Pacific Program Countries (excluding PNG),EAPR Countries,EAPR Countries (excluding China),Pacific Countries,Pacific Countries (excluding PNG),
Somalia,Somalia,11,SOM,706,SOM,Sub-Saharan Africa,Sub-Saharan Africa,Developing regions,Eastern Africa,Least developed countries,,,Eastern and Southern Africa,Sub-Saharan Africa,Africa,Developing countries,Least developed countries,,,Eastern Mediterranean,Sub-Saharan Africa,Sub-Saharan Africa (excluding high-income),Low income,Low income,Low and middle income,Africa,Sub-Saharan Africa,Less developed regions,Least developed countries,Excluding China,OIC,Arab,OIC Low income,,Countdown,Eastern Africa,Africa,Eastern Africa,Fragile,Fragile,Fragile,Fragile,Fragile,Fragile,Extremely Fragile,Fragile,Fragile and Conflict-affected Situation,,Africa,Eastern Africa,,Sub-Saharan Africa,,Least developed countries (LDCs),,,,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Eastern Africa (M49),Sub-Saharan Africa (MDG),Least developed countries (LDCs),,Developing regions (MDG),HAC,HAC,Global Strategy,Conflict,Sub-Saharan Africa,Eastern and Southern Africa,Sub-Saharan Africa,Eastern and Southern Africa,Low income,Low and middle income,Sub-Saharan Africa,Eastern and Southern Africa,Low income,Low and middle income,African Group,,GAVI,ECA_East Africa,ECA_All countries,,,,,,,,,,,ESCAP_Africa (AFR),,ESCWA_Arab countries,Eastern and Southern Africa,Humanitarian,Fragile,Eastern and Southern Africa,Eastern and Southern Africa,LiST,,LiSTSBR,,,,,,,,,
South Africa,South Africa,20,ZAF,710,SAF,Sub-Saharan Africa,Sub-Saharan Africa,Developing regions,South Africa,,,,Eastern and Southern Africa,Sub-Saharan Africa,Africa,Developing countries,,,,Africa,Sub-Saharan Africa,Sub-Saharan Africa (excluding high-income),Middle income,Upper middle income,Low and middle income,Africa,Sub-Saharan Africa,Less developed regions,Excluding least developed countries,Excluding China,,,,,Countdown,Southern Africa,Africa,Southern Africa,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,,Non-fragile,non-FCS,,Africa,Southern Africa,,Sub-Saharan Africa,,,,,,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Southern Africa (M49),Sub-Saharan Africa (MDG),,,Developing regions (MDG),,,,Non conflict,Sub-Saharan Africa,Eastern and Southern Africa,Sub-Saharan Africa,Eastern and Southern Africa,Upper middle income,Low and middle income,Sub-Saharan Africa,Eastern and Southern Africa,Upper middle income,Low and middle income,African Group,,,ECA_Southern Africa,ECA_All countries,,,,,,,,,,,ESCAP_Africa (AFR),,,Eastern and Southern Africa,Non-humanitarian,,Eastern and Southern Africa,Eastern and Southern Africa,LiST,,LiSTSBR,,,,,,,,,
South Sudan,South Sudan,999,SSD,728,SSUD,Sub-Saharan Africa,Sub-Saharan Africa,Developing regions,Eastern Africa,Least developed countries,,LLDC,Eastern and Southern Africa,Sub-Saharan Africa,Africa,Developing countries,Least developed countries,,,Africa,Sub-Saharan Africa,Sub-Saharan Africa (excluding high-income),Low income,Low income,Low and middle income,Africa,Sub-Saharan Africa,Less developed regions,Least developed countries,Excluding China,,,,,Countdown,Eastern Africa,Africa,Eastern Africa,Fragile,Fragile,Fragile,Fragile,Fragile,Fragile,Extremely Fragile,Fragile,Fragile and Conflict-affected Situation,USAID,Africa,Eastern Africa,,Sub-Saharan Africa,,Least developed countries (LDCs),Landlocked developing countries (LLDCs),,,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Eastern Africa (M49),Sub-Saharan Africa (MDG),Least developed countries (LDCs),Landlocked developing countries (LLDCs),Developing regions (MDG),,,,Conflict,Sub-Saharan Africa,Eastern and Southern Africa,Sub-Saharan Africa,Eastern and Southern Africa,Low income,Low and middle income,Sub-Saharan Africa,Eastern and Southern Africa,Low income,Low and middle income,African Group,,GAVI,ECA_East Africa,ECA_All countries,,,,,,,,,,,ESCAP_Africa (AFR),,,Eastern and Southern Africa,Humanitarian,Fragile,Eastern and Southern Africa,Eastern and Southern Africa,LiST,,LiSTSBR,,,,,,,,,
Spain,Spain,191,ESP,724,SPN,Developed regions,Developed regions,Developed regions,,,,,Industrialized countries,Industrialized countries,,,,,,Europe,Europe and Central Asia,,High income,High income,,Europe,,More developed regions,More developed regions,,,,,,,,,,,,,,,Non-fragile,,,non-FCS,,Europe,Southern Europe,,Northern America and Europe,Europe,,,"North America, Europe, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America",Northern America (M49) and Europe (M49),Europe (M49),Southern Europe (M49),Developed regions (MDG),,,Developed regions,,,,,Europe and Central Asia,Western Europe,,,,,,,,,Western European and Others Group (WEOG),,,,ECE_All countries,ECE_European Union (EMU),ECE_Euro area (E25),,,,,,,,,ESCAP_Europe (Europe),,,High Income Countries,Non-humanitarian,,,,,,,,,,,,,,,
Sri Lanka,Sri Lanka,74,LKA,144,SRI,Southern Asia,Southern Asia excluding India,Developing regions,,,,,South Asia,South Asia,Asia,Developing countries,,,,South-East Asia,South Asia,South Asia (excluding high-income),Middle income,Lower middle income,Low and middle income,Asia,,Less developed regions,Excluding least developed countries,Excluding China,,,,,,,,,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,,Non-fragile,non-FCS,,Asia,Southern Asia,,Central Asia and Southern Asia,Southern Asia,,,,,Central Asia (M49) and Southern Asia (MDG=M49),Asia (M49),Southern Asia (MDG=M49),Southern Asia (MDG=M49),,,Developing regions (MDG),,,,Non conflict,South Asia,,,,,,South Asia,,Lower middle income,Low and middle income,Asia-Pacific Group,,,,,,,,ESCAP_ADB Group C (ADB_DMC_C),ESCAP_SAARC (SAARC),,,,,ESCAP_South and South-West Asia (SSWA),ESCAP_All countries,,,South Asia,Non-humanitarian,,South Asia,South Asia,LiST,LiSTSBR,LiSTSBR,,,,,,,,,
St Vincent & the Grenadines,Saint Vincent and the Grenadines,132,VCT,670,STV,Latin America and the Caribbean,Latin America and the Caribbean,Developing regions,,,Caribbean,SIDS,Latin America and the Caribbean,Latin America and the Caribbean,,Developing countries,,,Eastern Caribbean Area,Americas,Latin America and the Caribbean,Latin America and the Caribbean (excluding high-income),Middle income,Upper middle income,Low and middle income,Latin America and the Caribbean,,Less developed regions,Excluding least developed countries,Excluding China,,,,,,,,,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,,Non-fragile,,,Americas,Latin America and the Caribbean,Caribbean,Latin America and the Caribbean,,,Small island developing States (SIDS),,,Latin America and the Caribbean (MDG=M49),Latin America and the Caribbean (MDG=M49),Caribbean (M49),Latin America and the Caribbean (MDG=M49),,Small island developing States (SIDS),Developing regions (MDG),,,,Non conflict,Latin America and Caribbean,,,,,,Latin America and Caribbean,,Upper middle income,Low and middle income,Latin American and Caribbean Group (GRULAC),,,,ECLAC_All countries,,,ECLAC_Carribean,,,,,,,,ESCAP_Latin America (LAC),,,Latin America and Caribbean,Non-humanitarian,,,,,,,,,,,,,,,
State of Palestine,State of Palestine,61,PSE,275,PLW,Western Asia,Western Asia,Developing regions,,,,,Middle East and North Africa,Middle East and North Africa,,Developing countries,,Middle East,,N/A,Middle East and North Africa,Middle East and North Africa (excluding high-income),Middle income,Lower middle income,Low and middle income,Asia,,Less developed regions,Excluding least developed countries,Excluding China,OIC,Arab,OIC Lower middle income,OIC Middle income,,,,,Fragile,Fragile,Fragile,Fragile,Fragile,Fragile,Other Fragile,Fragile,Fragile and Conflict-affected Situation,,Asia,Western Asia,,Western Asia and Northern Africa,Western Asia,,,,,Western Asia (M49) and Northern Africa (M49),Asia (M49),Western Asia (M49),Western Asia (MDG),,,Developing regions (MDG),HAC,HAC,,Conflict,Middle East and North Africa,,Middle East and North Africa,,Lower middle income,Low and middle income,Middle East and North Africa,,Lower middle income,Low and middle income,,,,,,,,,,,,,,,,ESCAP_Other Area (OTH_REGION),ESCWA_All countries,ESCWA_Arab countries,Middle East and North Africa,Non-humanitarian,Fragile,,,,,,,,,,,,,,
Sudan,Sudan,48,SDN,729,SUD,Sub-Saharan Africa,Sub-Saharan Africa,Developing regions,North Africa,Least developed countries,,,Middle East and North Africa,Sub-Saharan Africa,Africa,Developing countries,Least developed countries,Middle East,,Eastern Mediterranean,Sub-Saharan Africa,Sub-Saharan Africa (excluding high-income),Low income,Low income,Low and middle income,Africa,,Less developed regions,Least developed countries,Excluding China,OIC,Arab,OIC Lower middle income,OIC Middle income,Countdown,North Africa,Africa,Eastern Africa,Fragile,Fragile,Fragile,Fragile,Fragile,Fragile,Extremely Fragile,Fragile,Fragile and Conflict-affected Situation,,Africa,Northern Africa,,Western Asia and Northern Africa,Northern Africa,Least developed countries (LDCs),,,,Western Asia (M49) and Northern Africa (M49),Northern Africa (M49),Northern Africa (M49),Sub-Saharan Africa (MDG),Least developed countries (LDCs),,Developing regions (MDG),HAC,HAC,,Conflict,Sub-Saharan Africa,Eastern and Southern Africa,Sub-Saharan Africa,Eastern and Southern Africa,Low income,Low and middle income,Sub-Saharan Africa,Eastern and Southern Africa,Low income,Low and middle income,African Group,,GAVI,ECA_North Africa,ECA_All countries,,,,,,,,,,,ESCAP_Africa (AFR),ESCWA_All countries,ESCWA_Arab countries,Eastern and Southern Africa,Non-humanitarian,Fragile,Middle East and North Africa,Eastern and Southern Africa,LiST,,LiSTSBR,,,,,,,,,
Suriname,Suriname,133,SUR,740,SUR,Latin America and the Caribbean,Latin America and the Caribbean,Developing regions,,,Latin America,SIDS,Latin America and the Caribbean,Latin America and the Caribbean,,Developing countries,,,,Americas,Latin America and the Caribbean,Latin America and the Caribbean (excluding high-income),Middle income,Upper middle income,Low and middle income,Latin America and the Caribbean,,Less developed regions,Excluding least developed countries,Excluding China,OIC,Asia/other,OIC Upper middle income,OIC Middle income,Countdown,,,,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,,Non-fragile,non-FCS,,Americas,Latin America and the Caribbean,South America,Latin America and the Caribbean,,,Small island developing States (SIDS),,,Latin America and the Caribbean (MDG=M49),Latin America and the Caribbean (MDG=M49),South America (M49),Latin America and the Caribbean (MDG=M49),,Small island developing States (SIDS),Developing regions (MDG),,,,Non conflict,Latin America and Caribbean,,Latin America and Caribbean,,Upper middle income,Low and middle income,Latin America and Caribbean,,Upper middle income,Low and middle income,Latin American and Caribbean Group (GRULAC),,,,ECLAC_All countries,,,ECLAC_Carribean,,,,,,,,ESCAP_Latin America (LAC),,,Latin America and Caribbean,Non-humanitarian,,Latin America and the Caribbean,Latin America and Caribbean,LiST,,LiSTSBR,,,,,,,,,
Swaziland,Eswatini,21,SWZ,748,SZD,Sub-Saharan Africa,Sub-Saharan Africa,Developing regions,South Africa,,,LLDC,Eastern and Southern Africa,Sub-Saharan Africa,Africa,Developing countries,,,,Africa,Sub-Saharan Africa,Sub-Saharan Africa (excluding high-income),Middle income,Lower middle income,Low and middle income,Africa,Sub-Saharan Africa,Less developed regions,Excluding least developed countries,Excluding China,,,,,Countdown,Southern Africa,Africa,Southern Africa,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Fragile,Other Fragile,Non-fragile,non-FCS,,Africa,Southern Africa,,Sub-Saharan Africa,,,Landlocked developing countries (LLDCs),,,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Southern Africa (M49),Sub-Saharan Africa (MDG),,Landlocked developing countries (LLDCs),Developing regions (MDG),,,,Non conflict,Sub-Saharan Africa,Eastern and Southern Africa,Sub-Saharan Africa,Eastern and Southern Africa,Lower middle income,Low and middle income,Sub-Saharan Africa,Eastern and Southern Africa,Lower middle income,Low and middle income,African Group,,,ECA_Southern Africa,ECA_All countries,,,,,,,,,,,ESCAP_Africa (AFR),,,Eastern and Southern Africa,Non-humanitarian,,Eastern and Southern Africa,Eastern and Southern Africa,LiST,,LiSTSBR,,,,,,,,,
Sweden,Sweden,192,SWE,752,SWD,Developed regions,Developed regions,Developed regions,,,,,Industrialized countries,Industrialized countries,,,,,,Europe,Europe and Central Asia,,High income,High income,,Europe,,More developed regions,More developed regions,,,,,,,,,,,,,,,Non-fragile,,,non-FCS,,Europe,Northern Europe,,Northern America and Europe,Europe,,,"North America, Europe, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America",Northern America (M49) and Europe (M49),Europe (M49),Northern Europe (M49),Developed regions (MDG),,,Developed regions,,,,,Europe and Central Asia,Western Europe,,,,,,,,,Western European and Others Group (WEOG),,,,ECE_All countries,ECE_European Union (EMU),,,,,,,,,,ESCAP_Europe (Europe),,,High Income Countries,Non-humanitarian,,,,,,,,,,,,,,,
Switzerland,Switzerland,193,CHE,756,SWZ,Developed regions,Developed regions,Developed regions,,,,,Industrialized countries,Industrialized countries,,,,,,Europe,Europe and Central Asia,,High income,High income,,Europe,,More developed regions,More developed regions,,,,,,,,,,,,,,,Non-fragile,,,non-FCS,,Europe,Western Europe,,Northern America and Europe,Europe,,,"North America, Europe, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America",Northern America (M49) and Europe (M49),Europe (M49),Western Europe (M49),Developed regions (MDG),,,Developed regions,,,,,Europe and Central Asia,Western Europe,,,,,,,,,Western European and Others Group (WEOG),,,,ECE_All countries,,,,,,,,,,,ESCAP_Europe (Europe),,,High Income Countries,Non-humanitarian,,,,,,,,,,,,,,,
Syria,Syrian Arab Republic,64,SYR,760,SYR,Western Asia,Western Asia,Developing regions,,,,,Middle East and North Africa,Middle East and North Africa,,Developing countries,,Middle East,,Eastern Mediterranean,Middle East and North Africa,Middle East and North Africa (excluding high-income),Low income,Low income,Low and middle income,Asia,,Less developed regions,Excluding least developed countries,Excluding China,OIC,Arab,OIC Lower middle income,OIC Middle income,,,,,Fragile,Fragile,Fragile,Fragile,Fragile,Fragile,Extremely Fragile,Fragile,Fragile and Conflict-affected Situation,,Asia,Western Asia,,Western Asia and Northern Africa,Western Asia,,,,,Western Asia (M49) and Northern Africa (M49),Asia (M49),Western Asia (M49),Western Asia (MDG),,,Developing regions (MDG),,,,Conflict,Middle East and North Africa,,Middle East and North Africa,,Low income,Low and middle income,Middle East and North Africa,,Low income,Low and middle income,Asia-Pacific Group,,,,,,,,,,,,,,,ESCAP_Other Area (OTH_REGION),ESCWA_All countries,ESCWA_Arab countries,Middle East and North Africa,Humanitarian,Fragile,Middle East and North Africa,Middle East and North Africa,LiST,,LiSTSBR,,,,,,,,,
